Species Name,Description
Ipnopidae,"The Ipnopidae (deepsea tripod fishes) are a family of fishes in the order Aulopiformes. They are small, slender fishes, with maximum length ranging from about 10 to 40 cm (3.9 to 15.7 in). They are found in temperate and tropical deep waters of the Atlantic, Indian, and Pacific Oceans. Abiotic factors, such as depth, temperature, dissolved oxygen concentration, pressure, and carbon concentration can all impact their distribution. A number of species, especially in the genus Bathypterois, have elongated pectoral and pelvic fins."
Istiophoridae,"Marlins are fish from the family Istiophoridae, which includes between 9 and 11 species, depending on the taxonomic authority."
Kneriidae,"The Kneriidae are a small family of freshwater gonorhynchiform fishes native to sub-Saharan Africa. The species in this family typically live in fast-flowing streams, often in highlands, and are small fish, no more than 15 cm (5.9 in) in length. The second subfamily Phractolaeminae contains only a single species, which typically inhabits stagnant or slow-moving waters and reaches up to 25 cm (9.8 in) in length. All Kneriidae have an elongated body shape. Some species are sexually dimorphic, with the male possessing a rosette on the gill covers that is absent in the females."
Kuhliidae,"The flagtails (āhole or āholehole in the Hawaiian language) are a family (Kuhliidae) of centrarchiform ray-finned fish of the Indo-Pacific area. The family consists of 13 species in one genus, Kuhlia. Most are euryhaline and often found in brackish water, but the genus also includes species restricted to marine or fresh water. Several species are known as Hawaiian flagtails, particularly K. sandvicensis and K."
Kyphosidae,"The sea chubs, also known as rudderfish and pilot fish and in Hawaiian as enenue or nenue, are a family, Kyphosidae, (from Greek, kyphos = hump) of fishes in the order Centrarchiformes native to the Atlantic, Indian and Pacific Oceans usually close to shore in marine waters."
Labridae,"The wrasses are a family, Labridae, of marine ray-finned fish, many of which are brightly colored. The family is large and diverse, with over 600 species in 81 genera, which are divided into eight subfamilies. They are typically small, most of them less than 20 cm (7.9 in) long, although the largest, the humphead wrasse, can measure up to 2.5 m (8.2 ft). They are efficient carnivores, feeding on a wide range of small invertebrates. Many smaller wrasses follow the feeding trails of larger fish, picking up invertebrates disturbed by their passing."
Labrisomidae,"Labrisomids are small blennioids (blennies), percomorph marine fish belonging to the family Labrisomidae. Found mostly in the tropical Atlantic and Pacific Ocean, the family contains about 110 species in 15 genera. Stockier than the average blenny, labrisomids are elongated nonetheless; their dorsal fin spines outnumber soft rays (which may be absent altogether), and their pelvic fins are long and slender. Like many other blennies, labrisomids have whisker-like structures called cirri on their heads and napes. Scales may be cycloid or absent in labrisomids; many species are brightly coloured."
Lamnidae,"The Lamnidae are the family of mackerel sharks known as white sharks. They are large, fast-swimming predatory fish found in oceans worldwide, though they prefer environments with colder water. The name of the family is formed from the Greek word lamna, which means ""fish of prey"", and was derived from the Greek legendary creature, the Lamia. These sharks have pointed snouts, spindle-shaped bodies, and large gill openings. The first dorsal fin is large, high, stiff and angular or somewhat rounded."
Lampridae,"The opah, also commonly known as moonfish, sunfish (not to be confused with Molidae),  cowfish, kingfish, and redfin ocean pan are large, colorful, deep-bodied pelagic lampriform fishes comprising the genus Lampris, of the small family Lampridae (also spelled Lamprididae)."
Lateolabracidae,"Lateolabrax is a genus of commercially important ray-finned fishes known as the Asian seabasses. It is the only genus in the family Lateolabracidae. This genus is native to the coastal waters of the western Pacific Ocean. This genus has also been included in family Moronidae (temperate basses) and may be nested within the Polyprionidae. One potential fossil genus is also known in Avitolabrax from the earliest Miocene of Japan, which may be ancestral to Lateolabrax."
Latidae,"The Latidae, known as the lates perches, are a family of perch-like fish found in Africa, Asia, and the Indian and western Pacific Oceans. Including about 13 species, the family, previously classified subfamily Latinae in family Centropomidae, was raised to family status in 2004 after a cladistic analysis showed the original Centropomidae were paraphyletic. The Latidae are characterised by having dorsal fins that are incompletely separated, or if they are separated, a few isolated spines will be found between the anterior and posterior parts of the fin. Their caudal fin is normally rounded. All species have a vertebral column made up of 25 vertebrae."
Latilidae,"Deepwater tilefishes are a family, Latilidae, of marine ray-finned fish native to the Atlantic, Pacific, and Indian Oceans. As their name suggests, they inhabit relatively deep waters on the continental shelf and slope, below 50 m in depth, and as deep as 200 m. They have a long life span, up to 46 years (females) and 39 years (males)."
Latridae,"Latridae commonly called trumpeters, is a family of marine ray-finned fish. They are found in temperate seas in the Southern Hemisphere. The classification of the species within the Latridae and the related Cheilodactylidae is unclear.They are fished commercially and for sport."
Lebiasinidae,"The Lebiasinidae are a family of freshwater fishes found in Costa Rica, Panama, and South America. They are usually small and are known as ornamental fishes in aquaria, including popular fishes such as the various pencilfish and the splashing tetra. Lebiasinids are small, cylindrical fish, ranging from 2 to 18 cm (0.8 to 7.1 in) in adult length. They prey on insect larvae, especially those of mosquitos. The family includes the voladoras (genera Lebiasina and Piabucina), mostly found in highlands of the north Andes, the Guiana Shield and Central America, but the other species are mainly lowland fish inhabiting the Orinoco, Amazon and Paraguay River basins, and rivers of the Guianas."
Leiognathidae,"Leiognathidae, the ponyfishes, slipmouths or slimys / slimies, are a small family of fishes in the order Acanthuriformes. They inhabit marine and brackish waters in the Indo-Pacific. They can be used in the preparation of bagoong."
Lepidosirenidae,"The South American lungfish (Lepidosiren paradoxa), also known as the American mud-fish and scaly salamanderfish, is the single species of lungfish found in swamps and slow-moving waters of the Amazon, Paraguay, and lower Paraná River basins in South America. Notable as an obligate air-breather, it is the sole member of its family Lepidosirenidae, although some authors also place Protopterus in the family. In Brazil, it is known by the indigenous language Tupi name piramboia, which means ""snake-fish"" (Portuguese pronunciation: [piɾɐ̃ˈbɔjjɐ]), and synonyms pirarucu-bóia ([piɾɐɾuˈku ˈbɔjjɐ]), traíra-bóia ([tɾɐˈiɾɐ ˈbɔjjɐ]), and caramuru ([kɐɾɐmuˈɾu])."
Lepisosteidae,"Gars are an ancient group of ray-finned fish in the family Lepisosteidae. They comprise seven living species of fish in two genera that inhabit fresh, brackish, and occasionally marine waters of eastern North America, Central America and Cuba in the Caribbean, though extinct members of the family were more widespread. They are the only surviving members of the Ginglymodi, a clade of fish which first appeared during the Triassic period, over 240 million years ago, and are one of only two surviving groups of holosteian fish, alongside the bowfins, which have a similar distribution. Gars have elongated bodies that are heavily armored with ganoid scales, and fronted by similarly elongated jaws filled with long, sharp teeth. Gars are sometimes referred to as ""garpike"", but are not closely related to pike, which are in the fish family Esocidae."
Leptobarbidae,"Leptobarbus, the cigar barbs, is a genus of cyprinoid ray-finned fishes, it is the only genus in the monotypic family Leptobarbidae. The fishes in this genus are native to freshwater habitats in Southeast Asia. They are important food fish. It is the only genus in the subfamily Leptobarbinae. Leptobarbus hoevenii or ""sultan fish"" migrate the fresh water rivers of Malaysia and travel at the surface in schools of 40–80 individuals at speeds of 0.48-1.08 km."
Lestidiidae,"Lestidiidae is a family of deep-sea ray-finned fishes commonly known as naked barracudinas. These fishes are characterized by their elongated, slender bodies and lack of scales, which gives them a smooth appearance. They are typically found in tropical and subtropical oceans, inhabiting mesopelagic to bathypelagic depths. Members of this family are predatory and feed on smaller fish and planktonic organisms. Lestidiidae species play an important ecological role in deep-sea food webs as mid-level predators."
Lethrinidae,"Lethrinidae are a family of ray-finned fishes belonging to the order Spariformes commonly known as emperors, emperor breams, and pigface breams. These fish are found in tropical waters of the Pacific and Indian Oceans, and Lethrinus atlanticus is also found in the eastern Atlantic Ocean. They are benthic feeders, consuming invertebrates and small fishes. Some species have molariform teeth which they use to eat shelled invertebrates, such as molluscs and crabs."
Leuciscidae,"Leuciscidae is a family of freshwater ray-finned fishes, formerly classified as a subfamily of the Cyprinidae, which contains the true minnows. Members of the Old World (OW) clade of minnows within this subfamily are known as European minnows. As the name suggests, most members of the OW clade are found in Eurasia, aside from the golden shiner (Notemigonus crysoleucas), which is found in eastern North America. According to ancestral area reconstruction, the subfamily Leuciscinae is thought to have originated in Europe before becoming widely distributed in parts of Europe, Asia and North America. Evidence for the dispersal of this subfamily can be marked by biogeographical scenarios/observations, geomorphological changes, phylogenetic relationships as well as evidence for vicariance events taking place through time."
Liparidae,"The snailfishes or sea snails (not to be confused with invertebrate sea snails), are a family of marine ray-finned fishes. These fishes make up the Liparidae, a family classified within the order Scorpaeniformes. Widely distributed from the Arctic to Antarctic Oceans, including the oceans in between, the snailfish family contains more than 30 genera and about 410 described species, but there are also many undescribed species. Snailfish are found at depths ranging from shallow coastal waters to more than 8,300 m (27,200 ft), including in seven ocean trenches."
Lobotidae,"Lobotidae is a family of ray-finned fishes that includes the tripletails, which are circumtropical marine fishes, and tiger perches, which are Asian freshwater fishes. The family is placed in the order Spariformes in the 5th edition of Fishes of the World but this classification and the taxa included within the family is not agreed on by all workers."
Lophiidae,"Goosefishes, sometimes called anglers or monkfishes,  are a family, the Lophiidae, of marine ray-finned fishes belonging to the order Lophiiformes, the anglerfishes. The family includes 30 recognized species. These fishes are found in all the world's oceans except for the Antarctic Ocean."
Lophotidae,"Crestfishes, family Lophotidae, are lampriform fishes found in most oceans. It consists of two extant and four extinct genera. They are elongated, ribbon-like fishes, silver in color, found in deep tropical and subtropical waters worldwide. Their scientific name is from Greek lophos meaning ""crest"" and refer to the crest (part of the dorsal fin) that emerges from the snout and head; this structure gives them their other name of unicorn fishes. The extant genera all possess ink sacs that open into their cloacae from which they can produce a cloud of black ink when threatened (as in many cephalopods)."
Loricariidae,"Loricariidae is the largest family of catfish (order Siluriformes), with over 90 genera and just over 680 species. Loricariids originate from freshwater habitats of Costa Rica, Panama, and tropical and subtropical South America. These fish are noted for the bony plates covering their bodies and their suckermouths. Several genera are sold as ""plecos"", notably the suckermouth catfish, Hypostomus plecostomus, and are popular as aquarium fish."
Lumpenidae,"Lumpenidae, the eel pricklebacks, is a family of marine ray-finned fishes, classified within the suborder Zoarcoidei. These fishes are found in the North Pacific, Arctic and North Atlantic Oceans. An indeterminate fossil lumpenid is known from the early-middle Miocene-aged Bessho Formation of Honshu, Japan."
Lutjanidae,"Lutjanidae, the snappers and fusiliers, are a family of percomorph fishes, mainly marine but with some members inhabiting estuaries and, in some cases, fresh water (e.g., Lutjanus goldiei). The family includes about 113 species. Most species are used for food and many are of high economic importance. Many species around the world are known in local languages as red snapper, including species from different genera (including Lutjanus and Pristipomoides) 
Snappers inhabit tropical, subtropical, and warm-temperate  regions of all oceans. Some snappers grow up to about 1 m (3.3 ft) in length, and one species, the cubera snapper, grows up to 1.52 m (5 ft 0 in) in length."
Macrouridae,"Grenadiers or rattails are generally large, brown to black gadiform marine fish of the family Macrouridae, the largest family of the suborder Macrouroidei. Found at great depths from the Arctic to Antarctic, members of this family are amongst the most abundant of the deep-sea fish. The macrourids form a large and diverse family with 28 extant genera recognized (well over half of the total species are contained in just three genera, Coelorinchus, Coryphaenoides, and Nezumia). They range in length from about 10 cm (3.9 in) in Hymenogadus gracilis to 2.1 m (6.9 ft) in Albatrossia pectoralis. Several attempts have been made to establish a commercial fishery for the most common larger species, such as the giant grenadier, but the fish is considered unpalatable, and attempts thus far have proven unsuccessful."
Malacanthidae,"Tilefishes or sand tilefishes are mostly small percomorph marine fish comprising the family Malacanthidae. They are usually found in sandy, shallow areas, especially near coral reefs. Exceptionally colorful species of tilefish are favored for aquariums."
Malakichthyidae,"Malakichthyidae is a small family of ray-finned fishes, sometimes known as the temperate ocean-basses, in the order Acropomatiformes. Its members were formerly included in the lanternbelly family Acropomatidae."
Malapteruridae,"Electric catfish, or Malapteruridae (from Ancient Greek μαλακός (malakós) meaning ""soft"", πτερόν (pterón), meaning ""wing"", and οὐρά (ourá), meaning ""tail""), is a family of catfishes (order Siluriformes). This family includes two genera, Malapterurus and Paradoxoglanis, with 21 species. Several species of this family have the ability to generate electricity, delivering a shock of up to 350 volts from its electric organ. Electric catfish are found in tropical Africa and the Nile River. Electric catfish are usually nocturnal and carnivorous."
Mastacembelidae,"The Mastacembelidae are a family of fishes, known as the spiny eels. The Mastacembelids are part of the Order Synbranchiformes, the swamp eels, which are part of the Actinopterygii (ray-finned fishes). In an evaluation of the family in 2004, the subfamilies of Mastacembelidae were found to not be well supported and were rejected. Also, the genera Caecomastacembelus and Aethiomastacembelus were placed in synonymy with Mastacembelus. These fish originate from Africa, and southern and eastern Asia."
Megachasmidae,"Megachasma is a genus of mackerel sharks. It is usually considered to be the sole genus in the family Megachasmidae, though suggestion has been made that it may belong in the family Cetorhinidae, of which the basking shark is the sole extant member. Megachasma is known from a single living species, Megachasma pelagios. In addition to the living M. pelagios, two extinct megamouth species – the Priabonian Megachasma alisonae and the Oligocene–Miocene Megachasma applegatei – have been discovered from fossilized tooth remains."
Megalopidae,"Megalopidae is an ancient family of ray-finned fish, one of two living members of the order Elopiformes. It contains a single living genus (Megalops, the tarpons) with two species, and several extinct genera dating back to the Early Cretaceous. They likely diverged from their closest relatives, the Elopidae, during the Late Jurassic."
Melamphaidae,"Ridgeheads, also known as bigscales, are a family (Melamphaidae, from the Greek melanos [black] and amphi [by both sides]) of small, deep-sea beryciform fish. The family contains approximately 37 species in five genera; their distribution is worldwide, but ridgeheads are absent from the Arctic Ocean and Mediterranean Sea. Although the family is one of the most widespread and plentiful of deep-sea families, none of its members are of interest to commercial fishery. These fish are named for their large scales and pronounced cranial ridges, as well as for their typically dark brown to black coloration. Ridgeheads are the largest and most diverse family of their order."
Melanocetidae,"Black seadevils are small, deep-sea lophiiform fish of the family Melanocetidae. The six known species are all within the genus Melanocetus. They are found in tropical to temperate waters of the Atlantic, Indian, and in the Pacific Oceans, as well as one other species endemic to the Ross Sea. One of several anglerfish families, black seadevils are named for their intimidating appearance and dark skin. The humpback anglerfish (Melanocetus johnsonii) was featured on a 1995 cover of Time magazine and became a flagship species for deep sea fauna."
Melanotaeniidae,"Rainbowfishes are small, colourful freshwater fishes belonging to the family Melanotaeniidae, found in northern and eastern Australia, New Guinea (including islands in Cenderawasih Bay and Raja Ampat Islands in Indonesia), Sulawesi and Madagascar. The largest rainbowfish genus and the type of the family, Melanotaenia, derives from the ancient Greek melano (black) and taenia (banded). Translated, it means ""black-banded"", and is a reference to the often striking lateral black bands that run along the bodies of those in the genus Melanotaenia."
Merlucciidae,"The Merlucciidae, commonly called merluccid hakes , are a family of cod-like fish, containing two genera. They are the only member of the suborder Merlucciodei. They are native to cold water in the Atlantic and Pacific oceans, and typically are found at depths greater than 50 m (160 ft) in subtropical, temperate, sub-Arctic or sub-Antarctic regions. These predatory fish are up to 1.55 m (5 ft 1 in) in length, though most only reach about half that length, inhabiting the waters of the continental shelf and upper continental slope, where they feed on small fish such as lanternfishes. Several species are important commercial fish, for example the North Pacific hake (Merluccius productus) that is fished off western North America."
Microcanthidae,"The Microcanthidae, commonly known as stripeys, footballers, mados, and moonlighters, are a family of marine ray-finned fish in the order Centrarchiformes."
Microstomatidae,"The Microstomatidae (pencil smelts) are a family of marine smelts native to the Atlantic, Indian, and Pacific Oceans. Their bodies are small and slender, with large eyes and a small mouth. The dorsal fin is located behind the midpoint of their body, with pectoral fins on sides of their body, and the lateral line extends over the caudal fin. These fins lack spines. They are inhabitants of the mesopelagic to bathypelagic zone, where they feed on zooplankton."
Mitsukurinidae,"Mitsukurinidae is a family of sharks with one living genus, Mitsukurina, and four fossil genera: Anomotodon, Protoscapanorhynchus, Scapanorhynchus, and Woellsteinia, though some taxonomists consider Scapanorhynchus to be a synonym of Mitsukurina. The only known living species is the goblin shark, Mitsukurina owstoni. This family of sharks is named in honour of Kakichi Mitsukuri who brought the holotype of the family's type species to David Starr Jordan to be scientifically described. The most distinctive characteristic of the goblin sharks is the long, trowel-shaped, beak-like snout, much longer than those of other sharks. Its long snout is covered with ampullae of Lorenzini that enable it to sense minute electric fields produced by nearby prey, which it can snatch up by rapidly extending its jaws."
Mobulidae,The Mobulidae are a family of rays (manta rays and devilfishes) consisting mostly of large species living in the open ocean rather than on the sea bottom.
Mochokidae,"The Mochokidae are a family of catfishes (order Siluriformes) that are known as the squeakers or upside-down catfish (although not all species swim upside-down). Nine genera and about 200 species of mochokids ae described. All the mochokids are freshwater species originating from Africa. They have three pairs of barbels, with the nasal barbels absent; sometimes, the mandibular barbels may be branched. The lips are modified into a suckermouth in Atopochilus, Chiloglanis, and Euchilichthys."
Molidae,"The Molidae comprise the family of the molas or ocean sunfishes, unusual fish whose bodies come to an end just behind the dorsal and anal fins, giving them a ""half-fish"" appearance. They are also the largest of the ray-finned bony fish, with the southern sunfish, Mola alexandrini, recorded at 4.6 m (15 ft) in length and 2,744 kg (6,049 lb) in weight. The family name comes from the ocean sunfish's scientific name Mola mola, both its genus name and epithet come from the Latin word mola for ""millstone"" because of its circular shape."
Monacanthidae,"The filefish (Monacanthidae) are a diverse family of tropical to subtropical tetraodontiform marine fish, which are also known as foolfish, leatherjackets, or shingles. They live in the Atlantic, Pacific, and Indian Oceans. Filefish are closely related to triggerfish, pufferfish, and trunkfish. The filefish family comprises about 102 species in 27 genera. More than half of the species are found in Australian waters, with 58 species in 23 genera."
Monocentridae,"Pinecone fishes are small and unusual marine fish of the family Monocentridae. The family contains just five species in two genera, one of which is monotypic. Their distribution is limited to tropical and subtropical waters of the Indo-Pacific. Pinecone fishes are popular subjects of public aquaria, but are both expensive and considered a challenge for the hobbyist to maintain."
Monodactylidae,"Monodactylidae is a family of acanthuriform bony fish commonly referred to as monos, moonyfishes or fingerfishes. All are strongly laterally compressed with disc-shaped bodies and tall anal and dorsal fins. Unusually for fish, scales occur on their dorsal fins and sometimes on the anal fins. The pelvic fins are small, sometimes vestigial. They are of moderate size, typically around 25 centimetres (9.8 in) in length, and Monodactylus sebae can be taller than it is long, measuring up to 30 centimetres (12 in) from the tip of the dorsal fin down to the tip of the anal fin."
Moridae,"The Moridae are a family of cod-like fishes, known as codlings, hakelings, and moras. Morids are marine fishes found throughout the world, and may be found at depths to 2,500 m (8,200 ft), although most prefer shallower waters. In appearance, they greatly resemble the typical cods, from which can only be distinguished by their skeletal features and the structure of the swim bladder. They grow up to 90 cm (35 in) long (red codling, Pseudophycis bachus)."
Moringuidae,"The Moringuidae are a small family of eels commonly known as spaghetti eels or worm eels, although the latter name is also shared with other families of eels. Moringuid eels are found in shallow tropical waters worldwide. They range from about 15 to 140 cm (5.9 to 55.1 in) to  in length, and have very narrow, cylindrical bodies, giving rise to their common name. The family contains 14 species in its two genera."
Mormyridae,"The Mormyridae, sometimes called elephantfish (more properly freshwater elephantfish), are a family of weakly electric fish in the order Osteoglossiformes native to Africa. It is by far the largest family in the order, with around 200 species. Members of the family can be popular, if challenging, aquarium species. These fish have a large brain size and unusually high intelligence. They are not to be confused with the marine and brackish-water callorhinchid elephantfish (family Callorhinchidae) of Southern Hemisphere oceans."
Moronidae,"The Moronidae  is a family of percomorph fishes, commonly called the temperate basses, in the order Moroniformes. These fishes are found in the freshwaters of North America and the coastal waters of the North Atlantic."
Mugilidae,"The mullets or grey mullets are a family (Mugilidae) of ray-finned fish found worldwide in coastal temperate and tropical waters, and some species in fresh water. Mullets have served as an important source of food in Mediterranean Europe since Roman times. In ancient Egypt, people ate pickled and dried mullet called fesikh. The family includes about 78 species in 26 genera. Mullets are distinguished by the presence of two separate dorsal fins, small triangular mouths, and the absence of a lateral line organ."
Mullidae,"The goatfishes, or mullets, are ray-finned fish of the family Mullidae, the only family in the suborder Mulloidei of the order Syngnathiformes. The family is also sometimes referred to as the red mullets, which also refers more narrowly to the genus Mullus. The family name and the English common name mullet derived from Latin mullus, the red mullet; other than the red mullet and the striped red mullet or surmullet, the English word ""mullet"" generally refers to a different family of fish, the Mugilidae or gray mullets."
Muraenesocidae,"The Muraenesocidae, or pike congers, are a small family of marine eels found worldwide in tropical and subtropical seas. Some species are known to enter brackish water. Pike congers have cylindrical bodies, scaleless skin, narrow heads with large eyes, and strong teeth. Their dorsal fins start above the well-developed pectoral fins. These rather aggressive fish range from 60 to 250 cm (2.0 to 8.2 ft) in length."
Muraenidae,"Moray eels, or Muraenidae (), are a family of eels whose members are found worldwide. There are approximately 200 species in 16 genera which are almost exclusively marine, but several species are regularly seen in brackish water, and a few are found in fresh water. The English name, moray, dates back to the early 17th century, and is believed to be a derivative from Portuguese moreia, which itself derives from Latin mūrēna, in turn from Greek μύραινα, muraina; these are the Latin and Greek names of the Mediterranean moray."
Myctophidae,"Lanternfish (or myctophids, from the Greek μυκτήρ myktḗr, ""nose"" and ophis, ""serpent"") are small mesopelagic fish of the large family Myctophidae. One of two families in the order Myctophiformes, the Myctophidae are represented by 246 species in 33 genera, and are found in oceans worldwide. They are named after their conspicuous use of bioluminescence. Their sister family, the Neoscopelidae, are much fewer in number but superficially very similar; at least one neoscopelid shares the common name ""lanternfish"": the large-scaled lantern fish, Neoscopelus macrolepidotus. Lanternfish are among the most widely distributed, diverse and populous vertebrates, with some estimates suggesting that they may have a total global biomass of  1.8 to 16 gigatonnes, accounting for up to 65% of all deep-sea fish biomass."
Myliobatidae,"The eagle rays are a group of cartilaginous fishes in the family Myliobatidae, consisting mostly of large species living in the open ocean rather than on the sea bottom. Eagle rays feed on mollusks and crustaceans, crushing their shells with their flattened teeth. They are excellent swimmers and are able to breach the water up to several meters above the surface. Compared with other rays, they have long tails and well-defined, rhomboidal bodies. They are ovoviviparous, giving birth to up to six young at a time."
Myxinidae,"Hagfish, of the class Myxini  (also known as Hyperotreti) and order Myxiniformes , are eel-shaped jawless fish (occasionally called slime eels). Hagfish are the only known living animals that have a skull but no vertebral column, although they do have rudimentary vertebrae. Hagfish are marine predators and scavengers that can defend themselves against other larger predators by releasing copious amounts of slime from mucous glands in their skin. Although their exact relationship to the only other living group of jawless fish, the lampreys, was long the subject of controversy, genetic evidence suggests that hagfish and lampreys are more closely related to each other than to jawed vertebrates, thus forming the superclass Cyclostomi. The oldest-known stem group hagfish are known from the Late Carboniferous, around 310 million years ago, with modern representatives first being recorded in the mid-Cretaceous around 100 million years ago."
Nandidae,"Nandus, the Asian leaffishes, is a genus of small freshwater ray-finned fishes native to southern and southeastern Asia. It is the only member of the family Nandidae, which is classified in the order Anabantiformes and closely related to the Badidae and Pristolepididae. Fishes of the World considered this family and its relatives to be of uncertain taxonomic placement, but more recent taxonomic studies have reaffirmed its anabantiform affinities. Until recently, this family also contained Afronandus and Polycentropsis of tropical West and Middle Africa. However, genetic studies suggest that these the two African genera actually belong to the Cichliform South American leaffish family Polycentridae, which is only distantly related to Nandus (the ""true"" Nandidae)."
Narcinidae,"Narcinidae, or numbfishes, are a family of electric rays (order Torpediniformes). They are bottom-dwelling cartilaginous fishes with large, rounded pectoral fin discs and long tails. They can produce an electric discharge for defense, from which their scientific name is derived (Greek narke, meaning 'paralysis'). Members of this family are commonly known as the numbfishes, and are found almost worldwide in warm temperate and tropical continental and continental insular waters. They are strictly marine, so are absent from rivers and lakes."
Narkidae,"Members of the family Narkidae are commonly known as sleeper rays. They are restricted to the temperate and tropical Indo-West Pacific from South Africa to Japan to Indonesia, and are exclusively marine and are absent from freshwater habitats. They occur from the intertidal zone to the continental shelf and the upper continental slope to a depth of 350 meters, favoring soft-bottomed habitats."
Nemacheilidae,"The Nemacheilidae, or stone loaches, are a family of cypriniform fishes that inhabit stream environments, mostly in Eurasia, with one genus, Afronemacheilus, found in Africa. The family includes about 790 species."
Nemichthyidae,"Snipe eels are a family, Nemichthyidae, of eels that consists of nine species in three genera. They are pelagic fishes, found in every ocean, mostly at depths of 300–600 m (980–1,970 ft) but sometimes as deep as 4,000 m (13,000 ft). Depending on the species, adults may reach 1–2 m (39–79 in) in length, yet they weigh only 80–400 g (2.8–14.1 oz). They are distinguished by their very slender jaws that separate toward the tips as the upper jaw curves upward. The jaws appear similar to the beak of the bird called the snipe."
Nemipteridae,"Nemipteridae, the threadfin breams, whiptail breams, is a family of marine ray-finned fishes belonging to the order Spariformes. These fishes are found in the Indo-West Pacific region."
Neoscopelidae,"The Neoscopelidae (blackchins or neoscopelids) are a small family of deep-sea fish closely related to the lanternfish. They are found in tropical and subtropical marine waters worldwide. They can be distinguished from the lanternfish only by a few technical characters, such as the position of the anal fin being far behind that of the dorsal fin. Some species also lack the light-emitting organs (photophores) of the lanternfish. They are typically between 20 and 30 cm (7.9 and 11.8 in) in length."
Neosebastidae,"Neosebastidae, the gurnard scorpionfishes or gurnard perches, is a small family of deep-sea ray-finned fishes. It is part of the suborder Scorpaenoidei within the order Perciformes. These fishes are found in the Indian and Pacific oceans. Several of the species in this family are venomous."
Neozoarcidae,"Neozoarcidae, the largemouth kissing eelpouts, is a family of marine ray-finned fishes, classified within the Zoarcoidei. These fishes are found in the North Pacific Ocean."
Nettastomatidae,"Nettastomatidae, from Ancient Greek νῆττα (nêtta), meaning ""duck"", and στόμα (stóma), meaning ""mouth"", are a family of eels known as the duckbill eels or witch eels. Duckbill eels are found along the continental slopes of tropical and temperate oceans worldwide. They are bottom-dwelling fish, feeding on invertebrates and smaller fish. They are slender eels, up to 125 centimetres (4.10 ft) in length, with narrow heads and large, toothy, mouths. Most species lack pectoral fins."
Nomeidae,"Nomeidae, the driftfishes, are a family of scombriform ray-finned fishes found in tropical and subtropical waters throughout the world. The family includes about 16 species. The largest species, such as the Cape fathead, Cubiceps capensis, reach 1 m in length. Several species are found in association with siphonophores (which are colonies of tiny individual animals that have specialised functions which resemble jellyfish) such as the Portuguese man o' war; the man-of-war fish, Nomeus gronovii, is known to eat its tentacles and gonads, as well as feeding on other jellyfishes. Other species of driftfishes are associated with the floating seaweed Sargassum."
Notacanthidae,"Notacanthidae, the deep-sea spiny eels, are a family  of fishes found worldwide below 125 m (410 ft), and as deep as 3,500 m (11,500 ft). Their bodies are greatly elongated, though more tapered than in true eels. The caudal fin is small or nonexistent, while the anal fin is lengthy, as long as half of the total body length. They feed on animals attached to or living on the sea floor, such as sea anemones, echinoderms, molluscs, and worms. Although not true eels, these fish do have a similar leptocephalus larval form."
Nothobranchiidae,"Nothobranchiidae are a family of bony fishes containing roughly 300 species, also known as African rivulines. They are small killifish, usually measuring about 5 centimetres (2.0 in). They are limited to Africa, living in fresh water but being also somewhat salt-tolerant. They are also found in muddy or brackish water. Some species are kept as aquarium pets."
Notopteridae,"The family Notopteridae contains 11 species of osteoglossiform (bony-tongued) fishes, commonly known as featherbacks and knifefishes. These fishes live in freshwater or brackish environments in Africa and West, South, East and Southeast Asia. With the denotation of ""knifefish"", the notopterids should not be confused with Gymnotiformes, the electric knifefishes from South and Central America. Although their manner of swimming is similar and they are superficially similar in appearance, the two groups are not closely related. A few of the larger species, especially Chitala ornata, are food fish and occasionally aquarium pets."
Notosudidae,"Waryfishes are deep-sea aulopiform fishes in the small family Notosudidae. They are thought to have a circumglobal distribution in subarctic to subantarctic waters. The family name Notosudidae derives from the Greek noton (back) and Latin sudis (a fish, esox, the name of salmon)."
Nototheniidae,"In some scientific literature, the term ""cod icefish"" is used to identify members of this family. This should not be confused with the term ""icefish,"" which refers to the ""white-blooded"" fishes of the family Channichthyidae. See Icefish (disambiguation). Nototheniidae, the notothens or cod icefishes, is a family of ray-finned fishes, part of the suborder Notothenioidei which is traditionally placed within the order Perciformes. They are largely found in the Southern Ocean."
Odacidae,"The hypsigenyine wrasses or tuskfishes are saltwater fish of the subfamily Hypsigenyinae, a subgroup of the wrasse family (Labridae). The group is circumglobal, being found in almost all the of world's shallow tropical marine waters, although some species are also found in temperate zones. The former family Odacidae, containing the cales and weed whitings, is also now known to be nested within this subfamily."
Odontaspididae,"Sand sharks are mackerel sharks of the family Odontaspididae. They are found worldwide in temperate and tropical waters. The family contains two species in a single extant genus (Odontaspis), as well as several extinct genera. The genus Carcharias was formerly included in the family."
Odontobutidae,"Freshwater sleepers are a small family, the Odontobutidae,  of gobiiform ray-finned fishes native to freshwater rivers flowing into the South China Sea and the northwestern Pacific Ocean. The family consists of about 22 species in six genera."
